,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78.09±2.52,65.53±2.38,61.14±0.95,67.11±1.48,66.6±1.72,65.38±1.75,65.67±1.6,65.07±1.81,65.71±1.93
Train Jun2013,68.18±1.41,76.81±2.41,63.74±1.26,68.52±0.86,70.46±1.76,68.66±0.76,65.19±2.64,69.77±2.33,68.23±2.09
Train Nov2013,61.63±1.52,59.74±1.26,71.17±2.43,60.99±1.58,58.37±2.65,62.67±1.3,58.62±2.3,61.28±1.27,61.63±0.9
Train Apr2014,68.12±1.12,64.76±1.12,62.16±0.64,77.14±2.99,70.05±1.63,68.35±1.94,66.81±1.51,67.01±2.11,67.93±1.37
Train Jun2014,66.2±2.56,68.01±1.19,55.48±2.37,66.97±1.8,76.06±2.42,67.99±1.11,63.77±2.51,66.33±1.77,66.63±1.89
Train Aug2014,68.66±1.71,67.53±1.59,64.51±1.53,69.09±1.25,70.24±1.05,76.98±2.55,66.82±1.39,69.37±0.95,72.88±1.48
Train Apr2015,68.31±1.46,65.52±1.54,59.38±0.86,66.89±1.74,67.57±1.66,67.86±1.67,73.98±2.41,70.98±1.66,71.6±0.88
Train Jun2015,66.9±0.92,67.07±1.02,62.23±1.47,66.34±1.73,69.53±1.54,68.8±1.87,69.26±1.06,75.32±2.22,69.99±1.72
Train Nov2015,67.19±2.04,67.53±2.03,62.98±1.48,67.54±1.54,69.93±1.18,73.32±1.36,69.79±1.59,70.94±1.62,77.3±3.31
