,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78.09±2.52,65.38±2.3,60.7±1.21,66.95±1.45,66.01±1.51,65.05±1.45,65.54±1.66,64.6±1.47,65.23±1.71
Train Jun2013,68.1±1.47,76.81±2.41,63.66±0.99,68.56±0.75,70.24±1.81,68.76±0.81,65.37±2.79,69.88±2.3,68.06±2.04
Train Nov2013,61.57±1.48,59.74±1.27,71.17±2.43,60.63±1.99,58.45±2.6,62.75±1.05,58.41±2.0,60.98±1.2,61.67±0.68
Train Apr2014,67.89±1.2,64.84±0.91,61.42±0.67,77.14±2.99,70.05±1.56,68.07±1.95,66.86±1.51,67.23±1.91,68.02±1.33
Train Jun2014,66.34±2.55,67.93±1.11,55.58±2.3,66.88±1.86,76.06±2.42,68.17±1.39,64.09±2.64,66.38±1.83,66.71±1.78
Train Aug2014,69.0±1.39,67.5±1.73,64.38±1.72,69.41±1.31,70.34±1.29,76.98±2.55,66.9±1.23,69.49±1.07,72.85±1.12
Train Apr2015,68.48±1.41,65.64±1.62,59.52±0.68,67.06±1.85,67.74±1.52,67.71±1.77,73.98±2.41,70.82±1.77,71.53±0.83
Train Jun2015,66.77±0.94,66.99±1.01,62.26±1.36,66.78±1.67,69.81±1.87,68.83±1.72,69.31±1.06,75.32±2.22,70.07±1.63
Train Nov2015,67.25±1.9,67.9±1.98,63.79±1.2,68.2±1.53,70.08±1.02,73.42±1.28,69.99±1.59,71.13±1.66,77.3±3.31
