select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4809
0 140829 test 130606 0.47 decision-tree
0 130606 test 140829 0.53 random-forest
0 140829 test 130606 0.48 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4741
0 130606 test 130606 0.81 validation
0 150416 test 150416 0.74 validation
0 130606 test 150416 0.35 no-mapping
0 150416 test 130606 0.04 no-mapping
0 130606 test 150416 0.65 linear-transformation
0 150416 test 130606 0.65 linear-transformation
0 130606 test 150416 0.65 affine-transformation
0 150416 test 130606 0.65 affine-transformation
0 130606 test 150416 0.46 decision-tree
0 150416 test 130606 0.43 decision-tree
0 130606 test 150416 0.44 random-forest
0 150416 test 130606 0.48 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5441
0 130606 test 130606 0.81 validation
0 150602 test 150602 0.77 validation
0 130606 test 150602 0.37 no-mapping
0 150602 test 130606 0.11 no-mapping
0 130606 test 150602 0.69 linear-transformation
0 150602 test 130606 0.65 linear-transformation
0 130606 test 150602 0.68 affine-transformation
0 150602 test 130606 0.65 affine-transformation
0 130606 test 150602 0.49 decision-tree
0 150602 test 130606 0.45 decision-tree
0 130606 test 150602 0.53 random-forest
0 150602 test 130606 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5040
0 130606 test 130606 0.83 validation
0 150824 test 150824 0.81 validation
0 130606 test 150824 0.35 no-mapping
0 150824 test 130606 0.18 no-mapping
0 130606 test 150824 0.67 linear-transformation
0 150824 test 130606 0.69 linear-transformation
0 130606 test 150824 0.68 affine-transformation
0 150824 test 130606 0.68 affine-transformation
0 130606 test 150824 0.48 decision-tree
0 150824 test 130606 0.44 decision-tree
0 130606 test 150824 0.51 random-forest
0 150824 test 130606 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4354
0 131125 test 131125 0.71 validation
0 140416 test 140416 0.77 validation
0 131125 test 140416 0.15 no-mapping
0 140416 test 131125 0.15 no-mapping
0 131125 test 140416 0.59 linear-transformation
0 140416 test 131125 0.61 linear-transformation
0 131125 test 140416 0.61 affine-transformation
0 140416 test 131125 0.61 affine-transformation
0 131125 test 140416 0.46 decision-tree
0 140416 test 131125 0.49 decision-tree
0 131125 test 140416 0.45 random-forest
0 140416 test 131125 0.46 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 3274
0 131125 test 131125 0.71 validation
0 140600 test 140600 0.72 validation
0 131125 test 140600 0.1 no-mapping
0 140600 test 131125 0.18 no-mapping
0 131125 test 140600 0.6 linear-transformation
0 140600 test 131125 0.54 linear-transformation
0 131125 test 140600 0.59 affine-transformation
0 140600 test 131125 0.54 affine-transformation
0 131125 test 140600 0.39 decision-tree
0 140600 test 131125 0.41 decision-tree
0 131125 test 140600 0.46 random-forest
0 140600 test 131125 0.39 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4645
0 131125 test 131125 0.7 validation
0 140829 test 140829 0.76 validation
0 131125 test 140829 0.19 no-mapping
0 140829 test 131125 0.11 no-mapping
0 131125 test 140829 0.61 linear-transformation
0 140829 test 131125 0.64 linear-transformation
0 131125 test 140829 0.61 affine-transformation
0 140829 test 131125 0.64 affine-transformation
0 131125 test 140829 0.43 decision-tree
0 140829 test 131125 0.43 decision-tree
0 131125 test 140829 0.45 random-forest
0 140829 test 131125 0.47 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4352
0 131125 test 131125 0.7 validation
0 150416 test 150416 0.75 validation
0 131125 test 150416 0.32 no-mapping
0 150416 test 131125 0.1 no-mapping
0 131125 test 150416 0.59 linear-transformation
0 150416 test 131125 0.62 linear-transformation
0 131125 test 150416 0.58 affine-transformation
0 150416 test 131125 0.61 affine-transformation
0 131125 test 150416 0.41 decision-tree
0 150416 test 131125 0.44 decision-tree
0 131125 test 150416 0.44 random-forest
0 150416 test 131125 0.44 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5290
0 131125 test 131125 0.72 validation
0 150602 test 150602 0.78 validation
0 131125 test 150602 0.24 no-mapping
0 150602 test 131125 0.18 no-mapping
0 131125 test 150602 0.64 linear-transformation
0 150602 test 131125 0.61 linear-transformation
0 131125 test 150602 0.64 affine-transformation
0 150602 test 131125 0.62 affine-transformation
0 131125 test 150602 0.41 decision-tree
0 150602 test 131125 0.43 decision-tree
0 131125 test 150602 0.45 random-forest
0 150602 test 131125 0.49 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 4456
0 131125 test 131125 0.72 validation
0 150824 test 150824 0.77 validation
0 131125 test 150824 0.12 no-mapping
0 150824 test 131125 0.16 no-mapping
0 131125 test 150824 0.64 linear-transformation
0 150824 test 131125 0.62 linear-transformation
0 131125 test 150824 0.64 affine-transformation
0 150824 test 131125 0.61 affine-transformation
0 131125 test 150824 0.42 decision-tree
0 150824 test 131125 0.43 decision-tree
0 131125 test 150824 0.46 random-forest
0 150824 test 131125 0.48 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5125
0 140416 test 140416 0.82 validation
0 140600 test 140600 0.82 validation
0 140416 test 140600 0.25 no-mapping
0 140600 test 140416 0.26 no-mapping
0 140416 test 140600 0.69 linear-transformation
0 140600 test 140416 0.64 linear-transformation
0 140416 test 140600 0.69 affine-transformation
0 140600 test 140416 0.65 affine-transformation
0 140416 test 140600 0.48 decision-tree
0 140600 test 140416 0.47 decision-tree
0 140416 test 140600 0.54 random-forest
0 140600 test 140416 0.49 random-forest
select 20% of common polygons for temporal mapping per class
Number of pixel for mapping: 5843
0 140416 test 140416 0.78 validation
0 140829 test 140829 0.79 validation
0 140416 test 140829 0.4 no-mapping
0 140829 test 140416 0.4 no-mapping
0 140416 test 140829 0.68 linear-transformation
0 140829 test 140416 0.68 linear-transformation
0 140416 test 140829 0.67 affine-transformation
