,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78.09±2.52,42.97±2.37,32.58±1.59,50.74±1.77,20.51±2.7,30.8±3.44,33.15±2.45,33.94±2.44,31.46±3.23
Train Jun2013,42.08±2.13,76.81±2.41,36.59±2.27,36.54±2.25,26.67±2.76,38.04±2.47,37.12±1.12,37.23±2.9,38.59±3.46
Train Nov2013,19.03±2.26,12.97±1.48,71.17±2.43,14.38±1.88,9.13±1.58,22.83±1.4,29.65±2.61,24.95±1.37,14.6±2.54
Train Apr2014,7.79±0.97,9.53±0.88,17.01±0.88,77.14±2.99,25.42±2.08,43.76±1.55,45.36±1.08,45.42±2.07,48.08±1.74
Train Jun2014,21.56±1.86,28.11±2.4,19.27±0.76,28.72±1.92,76.06±2.42,39.03±2.67,31.55±1.69,25.08±2.06,31.02±2.01
Train Aug2014,2.81±0.53,7.12±0.94,12.34±1.4,38.13±1.8,9.43±1.36,76.98±2.55,45.29±2.53,49.8±2.27,59.55±2.56
Train Apr2015,4.23±0.93,4.64±0.92,11.06±0.89,40.12±1.88,15.16±0.74,29.71±2.77,73.98±2.41,37.69±3.34,35.49±2.39
Train Jun2015,12.06±0.9,13.49±1.15,17.94±1.46,54.16±2.55,17.72±1.16,40.86±2.98,43.34±3.43,75.32±2.22,49.0±2.97
Train Nov2015,9.16±2.54,13.79±3.01,16.93±2.74,37.89±1.86,15.38±2.25,39.49±2.17,39.55±0.93,39.66±2.3,77.3±3.31
