,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78.09±2.52,44.29±1.89,42.9±1.78,47.55±1.6,46.89±2.43,48.53±1.23,47.88±1.52,47.74±1.36,48.72±1.86
Train Jun2013,44.58±2.11,76.81±2.41,44.33±1.88,47.7±2.09,45.42±1.48,45.96±1.7,45.29±1.66,47.69±1.9,46.93±1.31
Train Nov2013,40.78±1.08,41.34±2.02,71.17±2.43,43.69±1.72,38.9±1.72,41.69±2.38,41.53±2.45,43.6±1.81,43.1±2.2
Train Apr2014,44.94±1.69,45.28±1.99,42.82±1.16,77.14±2.99,45.52±2.78,47.61±1.62,46.86±1.13,47.32±1.74,48.07±2.19
Train Jun2014,40.53±2.32,42.73±1.26,37.0±1.27,45.86±1.89,76.06±2.42,44.2±2.09,44.45±2.48,44.5±1.85,44.11±1.97
Train Aug2014,47.65±1.68,44.03±2.17,43.29±1.63,49.61±1.95,47.32±1.5,76.98±2.55,47.2±1.3,48.2±1.88,49.69±1.59
Train Apr2015,44.53±1.01,44.36±2.0,43.27±1.94,48.53±2.1,45.77±2.36,46.98±1.36,73.98±2.41,47.72±2.41,48.37±1.82
Train Jun2015,46.7±0.78,44.94±1.84,44.19±1.92,49.98±1.32,46.14±1.73,49.28±1.73,47.26±1.21,75.32±2.22,48.6±1.87
Train Nov2015,46.82±1.63,44.77±1.25,42.57±2.37,49.79±1.02,46.1±1.85,49.16±1.44,47.52±1.58,48.8±1.77,77.3±3.31
