,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78±3,66±2,60±1,66±1,67±1,65±2,66±2,65±2,66±1
Train Jun2013,69±1,77±3,64±2,68±2,71±1,68±2,65±2,69±2,68±1
Train Nov2013,60±2,59±3,71±3,60±2,58±3,62±2,59±2,62±1,63±2
Train Apr2014,69±1,63±2,61±2,79±2,70±2,69±1,67±1,66±1,67±2
Train Jun2014,67±1,68±1,55±1,68±1,75±3,68±2,65±2,67±1,67±2
Train Aug2014,69±3,68±1,64±2,69±1,72±1,78±3,66±2,70±1,73±1
Train Apr2015,68±2,66±1,60±1,67±2,68±1,67±2,74±3,71±1,71±2
Train Jun2015,67±2,68±2,62±2,65±1,70±1,69±1,69±1,75±3,70±1
Train Nov2015,68±2,67±1,63±1,67±1,70±2,74±1,70±2,71±1,77±3
