,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78±3,42±2,32±1,49±2,18±3,30±2,32±2,32±2,31±2
Train Jun2013,42±1,77±3,37±2,36±2,28±3,39±2,37±2,39±3,39±3
Train Nov2013,18±1,13±1,71±3,14±3,9±2,23±2,29±2,26±1,15±2
Train Apr2014,7±1,9±1,16±1,79±2,25±3,42±1,45±1,46±2,48±2
Train Jun2014,21±1,28±1,19±1,26±2,75±3,37±2,32±3,26±3,31±2
Train Aug2014,3±1,7±1,12±2,38±1,9±1,78±3,45±3,49±2,58±3
Train Apr2015,4±1,5±1,10±1,40±2,15±1,29±2,74±3,37±2,36±2
Train Jun2015,12±2,12±1,18±1,53±2,17±2,40±3,43±1,75±3,47±4
Train Nov2015,9±2,16±3,18±3,37±4,14±4,40±2,41±2,39±2,77±3
