,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78±3,45±2,43±2,47±2,47±2,47±2,47±2,48±1,49±1
Train Jun2013,46±1,77±3,43±2,46±2,46±2,46±2,46±1,47±2,48±2
Train Nov2013,40±1,40±1,71±3,44±2,39±2,42±2,42±2,43±2,42±1
Train Apr2014,44±2,44±1,44±2,79±2,48±2,48±2,48±2,48±1,49±2
Train Jun2014,41±2,42±2,38±2,46±2,75±3,44±2,44±2,45±2,44±1
Train Aug2014,46±1,45±2,43±1,49±2,48±2,78±3,47±2,49±2,50±1
Train Apr2015,45±3,44±2,43±2,48±2,48±2,48±2,74±3,48±1,48±2
Train Jun2015,47±1,46±2,44±2,49±2,47±1,48±2,48±2,75±3,48±1
Train Nov2015,47±2,44±1,43±1,49±2,48±2,50±2,48±2,49±2,77±3
