,Test Apr2013,Test Jun2013,Test Nov2013,Test Apr2014,Test Jun2014,Test Aug2014,Test Apr2015,Test Jun2015,Test Nov2015
Train Apr2013,78±3,48±2,44±2,48±2,51±2,50±2,48±2,50±2,50±2
Train Jun2013,47±1,77±3,46±2,48±2,49±2,49±2,48±2,50±2,49±1
Train Nov2013,41±2,42±1,71±3,44±1,43±1,45±2,44±1,45±2,45±2
Train Apr2014,46±1,46±1,45±2,79±2,52±1,50±2,49±1,50±1,50±2
Train Jun2014,43±2,45±2,40±1,49±2,75±3,47±2,48±1,48±1,47±1
Train Aug2014,49±1,48±2,46±2,52±1,52±2,78±3,49±2,51±1,52±2
Train Apr2015,46±2,46±2,44±2,48±2,50±2,48±1,74±3,50±2,50±1
Train Jun2015,48±1,48±1,46±2,49±2,51±1,50±1,48±2,75±3,49±1
Train Nov2015,49±2,48±2,46±2,51±1,51±2,51±2,50±2,51±1,77±3
